address,postal_code,latitude,longitude,full_address,coordinates,nearest_MRT,MRT_distance,nearest_Mall,Mall_distance,nearest_Market,Market_distance,nearest_Hawker,Hawker_distance,CBD_distance
172A EDGEDALE PLAINS,821172,1.39533468,103.9114339,172A EDGEDALE PLAINS SINGAPORE 821172,"(1.39533468, 103.9114339)",Coral Edge,0.20618544239188916,Punggol   Plaza    Singapore ,0.22753809755639495,NTUC Fairprice Co-operative Ltd,0.21539106543770956,Kovan Market & Food Centre,4.918414084619821,13.01801946103443
132 EDGEDALE PLAINS,820132,1.393069499,103.9106985,132 EDGEDALE PLAINS SINGAPORE 820132,"(1.393069499, 103.9106985)",Coral Edge,0.23491994411047112,Punggol   Plaza    Singapore ,0.2958951312470051,NTUC Fairprice Co-operative Ltd,0.2921758163939071,Kovan Market & Food Centre,4.665829369403032,12.778567003071245
107A EDGEFIELD PLAINS,821107,1.397198794,103.9068258,107A EDGEFIELD PLAINS SINGAPORE 821107,"(1.397198794, 103.9068258)",Meridian,0.2298377526720657,Rivervale   Mall    Singapore ,0.6125520041227615,PRIME SUPERMARKET LIMITED?,0.239815985514424,Kovan Market & Food Centre,4.824636383252694,12.830550587323629
293 PUNGGOL CTRL,820293,1.403075573,103.9049453,293 PUNGGOL CENTRAL PUNGGOL GROVE SINGAPORE 820293,"(1.403075573, 103.9049453)",Punggol,0.3707763333967001,Waterway   Point    Singapore ,0.5060848289046935,SHENG SIONG SUPERMARKET PTE LTD,0.15853064616489793,Kovan Market & Food Centre,5.321648232930398,13.202548848860983
643 PUNGGOL CTRL,820643,1.39731946,103.9160186,643 PUNGGOL CENTRAL EASTDALE SINGAPORE 820643,"(1.39731946, 103.9160186)",Kadaloor,0.2636053021527096,Punggol   Plaza    Singapore ,0.4755178042628579,ANG MO SUPERMARKET PTE LTD,0.23818193920472813,Kovan Market & Food Centre,5.3993161521846105,13.528867975354107
19 DOVER CRES,130019,1.307835871,103.7836359,19 DOVER CRESCENT DOVER VILLE SINGAPORE 130019,"(1.307835871, 103.7836359)",Dover,0.6871669802729624,The   Star   Vista    Singapore ,0.5484525770453914,SHENG SIONG SUPERMARKET PTE LTD,0.27013840930737004,Blk 20 Ghim Moh Road,0.6156127127414706,5.330973069701684
316B ANCHORVALE LINK,542316,1.392849379,103.8888208,316B ANCHORVALE LINK SINGAPORE 542316,"(1.392849379, 103.8888208)",Farmway,0.48286629909218587,Compass   One    Singapore ,0.6898012969489653,U STARS SUPERMARKET PTE. LTD.,0.44734056682178,Kovan Market & Food Centre,3.765575051708021,11.223160959518772
690E WOODLANDS DR 75,735690,1.442165494,103.8080407,690E WOODLANDS DRIVE 75 SINGAPORE 735690,"(1.442165494, 103.8080407)",Sembawang,1.5444422774993607,Admiralty   Place    Singapore ,0.7537866149553355,VENKATESH DEEPA ( VIDEKS GROCERS ),0.13015512584144698,Chong Pang City Wet Market & Food Centre,2.5373420456915037,14.956847549632604
17A TELOK BLANGAH CRES,91017,1.277382607,103.821604,17A TELOK BLANGAH CRESCENT MOUNT FABER VIEW SINGAPORE 091017,"(1.277382607, 103.821604)",Tiong Bahru,1.1807763627987506,Tiong   Bahru   Plaza    Singapore ,1.1946838241257232,COLD STORAGE SINGAPORE (1983) PTE LTD,0.2556920349450294,Blk 11 Telok Blangah Crescent,0.32931596140179176,3.7625998727019567
984A BUANGKOK LINK,531984,1.381982707,103.8812177,984A BUANGKOK LINK SINGAPORE 531984,"(1.381982707, 103.8812177)",Tongkang,0.9823464757215448,Buangkok   Square    Singapore ,0.21118704616477105,COLD STORAGE SINGAPORE (1983) PTE LTD,0.24285816701440996,Chomp Chomp Food Centre,2.5594807800196744,9.748631891629145
