month,level_1,level_2,value
1963-06,All Items,Communication,89.155
1963-06,All Items,Recreation & Culture,49.043
1963-06,All Items,Education,15.412
1963-06,All Items,Miscellaneous Goods & Services,18.822
1963-07,All Items,Food,22.06
1963-07,All Items,Food Excl Food Serving Services,na
1963-07,All Items,Food Serving Services,na
1963-07,All Items,Clothing & Footwear,53.307
1963-07,All Items,Housing & Utilities,26.865
1963-07,All Items,Household Durables & Services,31.526
1963-07,All Items,Health Care,18.604
1963-07,All Items,Transport,20.544
1963-07,All Items,Communication,89.155
1963-07,All Items,Recreation & Culture,49.043
1963-07,All Items,Education,15.412
1963-07,All Items,Miscellaneous Goods & Services,18.822
1963-08,All Items,Food,22.148
1963-08,All Items,Food Excl Food Serving Services,na
1963-08,All Items,Food Serving Services,na
1963-08,All Items,Clothing & Footwear,53.493
1963-08,All Items,Housing & Utilities,26.865
1963-08,All Items,Household Durables & Services,31.526
1963-08,All Items,Health Care,18.604
1963-08,All Items,Transport,20.544
1963-08,All Items,Communication,89.155
1963-08,All Items,Recreation & Culture,49.043
1963-08,All Items,Education,15.412
1963-08,All Items,Miscellaneous Goods & Services,18.823
1963-09,All Items,Food,22.306
1963-09,All Items,Food Excl Food Serving Services,na
1963-09,All Items,Food Serving Services,na
1963-09,All Items,Clothing & Footwear,53.688
1963-09,All Items,Housing & Utilities,26.882
1963-09,All Items,Household Durables & Services,31.537
1963-09,All Items,Health Care,18.604
1963-09,All Items,Transport,20.544
1963-09,All Items,Communication,89.155
1963-09,All Items,Recreation & Culture,49.043
1963-09,All Items,Education,15.412
1963-09,All Items,Miscellaneous Goods & Services,18.825
1963-10,All Items,Food,23.218
1963-10,All Items,Food Excl Food Serving Services,na
1963-10,All Items,Food Serving Services,na
1963-10,All Items,Clothing & Footwear,53.493
1963-10,All Items,Housing & Utilities,26.971
1963-10,All Items,Household Durables & Services,31.537
1963-10,All Items,Health Care,18.604
1963-10,All Items,Transport,20.544
1963-10,All Items,Communication,89.155
1963-10,All Items,Recreation & Culture,49.043
1963-10,All Items,Education,15.412
1963-10,All Items,Miscellaneous Goods & Services,18.826
1963-11,All Items,Food,22.906
1963-11,All Items,Food Excl Food Serving Services,na
1963-11,All Items,Food Serving Services,na
1963-11,All Items,Clothing & Footwear,53.493
1963-11,All Items,Housing & Utilities,27.104
1963-11,All Items,Household Durables & Services,31.508
1963-11,All Items,Health Care,18.604
1963-11,All Items,Transport,20.528
1963-11,All Items,Communication,89.155
1963-11,All Items,Recreation & Culture,49.043
1963-11,All Items,Education,15.412
1963-11,All Items,Miscellaneous Goods & Services,18.826
1963-12,All Items,Food,22.963
1963-12,All Items,Food Excl Food Serving Services,na
1963-12,All Items,Food Serving Services,na
1963-12,All Items,Clothing & Footwear,53.688
1963-12,All Items,Housing & Utilities,27.104
1963-12,All Items,Household Durables & Services,31.495
1963-12,All Items,Health Care,18.604
1963-12,All Items,Transport,20.608
1963-12,All Items,Communication,89.155
1963-12,All Items,Recreation & Culture,49.043
1963-12,All Items,Education,15.412
1963-12,All Items,Miscellaneous Goods & Services,18.826
1964-01,All Items,Food,23.231
1964-01,All Items,Food Excl Food Serving Services,na
1964-01,All Items,Food Serving Services,na
1964-01,All Items,Clothing & Footwear,53.729
1964-01,All Items,Housing & Utilities,27.104
1964-01,All Items,Household Durables & Services,31.465
1964-01,All Items,Health Care,18.604
1964-01,All Items,Transport,20.608
1964-01,All Items,Communication,89.155
1964-01,All Items,Recreation & Culture,49.124
1964-01,All Items,Education,15.578
