,address,postal_code,latitude,longitude,full_address,coordinates,nearest_MRT,MRT_distance,nearest_Mall,Mall_distance,nearest_Market,Market_distance,nearest_Hawker,Hawker_distance,CBD_distance
2617,193 BISHAN ST 13,570193,1.348665645,103.8509772,193 BISHAN STREET 13 BISHAN SPRING SINGAPORE 570193,"(1.348665645, 103.8509772)",Bishan,0.397161129,Junction 8    Singapore ,0.321408867,NTUC Fairprice Co-operative Ltd,0.145000305,Blk 210 Toa Payoh Lorong 8,1.008862836,7.188744479
2618,197 BISHAN ST 13,570197,1.349096718,103.8507533,197 BISHAN STREET 13 PCF SPARKLETOTS PRESCHOOL @ BISHAN EAST-THOMSON BLK 197 (KN) SINGAPORE 570197,"(1.3490967180000002, 103.8507533)",Bishan,0.348264213,Junction 8    Singapore ,0.276469515,COLD STORAGE SINGAPORE (1983) PTE LTD,0.113154661,Blk 210 Toa Payoh Lorong 8,1.062652697,7.236960015
2619,118 BT BATOK WEST AVE 6,650118,1.350022813,103.7464983,118 BUKIT BATOK WEST AVENUE 6 PCF SPARKLETOTS PRESCHOOL @ BUKIT BATOK 118 (CC) SINGAPORE 650118,"(1.350022813, 103.7464983)",Bukit Batok,0.360316361,West   Mall    Singapore ,0.301990677,COLD STORAGE SINGAPORE (1983) PTE LTD,0.297433067,Blk 254 Jurong East Street 24,1.203117209,13.79853312
2620,315 BT BATOK ST 32,650315,1.360096376,103.746561,315 BUKIT BATOK STREET 32 SINGAPORE 650315,"(1.360096376, 103.746561)",Bukit Gombak,0.600916357,West   Mall    Singapore ,1.150310299,COLD STORAGE SINGAPORE (1983) PTE LTD,0.389573724,Blk 254 Jurong East Street 24,2.082414674,14.41987472
2621,234 BT BATOK EAST AVE 5,650234,1.349141898,103.7554263,234 BUKIT BATOK EAST AVENUE 5 GOMBAK GARDENS SINGAPORE 650234,"(1.349141898, 103.7554263)",Bukit Batok,0.648171653,West   Mall    Singapore ,0.698717593,NTUC Fairprice Co-operative Ltd,0.2554759,Blk 254 Jurong East Street 24,2.051446722,12.91365067
2622,369 BT BATOK ST 31,650369,1.36002946,103.7510723,369 BUKIT BATOK STREET 31 SINGAPORE 650369,"(1.36002946, 103.7510723)",Bukit Gombak,0.1405621,West   Mall    Singapore ,1.123579605,PRIME SUPERMARKET LIMITED?,0.143779097,Blk 254 Jurong East Street 24,2.351956965,14.01233828
2623,362 BT BATOK ST 31,650362,1.360919734,103.7499523,362 BUKIT BATOK STREET 31 SINGAPORE 650362,"(1.360919734, 103.74995229999999)",Bukit Gombak,0.297763079,West   Mall    Singapore ,1.206214469,PRIME SUPERMARKET LIMITED?,0.22419089,Blk 254 Jurong East Street 24,2.356813553,14.17135453
2624,1 DELTA AVE,160001,1.292075251,103.8285841,1 DELTA AVENUE SINGAPORE 160001,"(1.292075251, 103.82858409999999)",Tiong Bahru,0.63995197,Great   World   City    Singapore ,0.407957803,NTUC Fairprice Co-operative Ltd,0.203040205,Zion Riverside Food Centre,0.291129324,2.711914067
2625,2 DELTA AVE,161002,1.291734122,103.8280261,2 DELTA AVENUE SINGAPORE 161002,"(1.291734122, 103.82802609999999)",Tiong Bahru,0.588051049,Great   World   City    Singapore ,0.479906781,NTUC Fairprice Co-operative Ltd,0.185470909,Beo Crescent Market,0.329225456,2.758507727
2626,113 DEPOT RD,100113,1.281419862,103.8072869,113 DEPOT ROAD DEPOT HEIGHTS SINGAPORE 100113,"(1.2814198620000001, 103.80728690000001)",Labrador Park,1.154159382,Alexandra   Central    Singapore ,0.710456494,NTUC Fairprice Co-operative Ltd,0.338527449,ABC Brickworks Market & Food Centre,0.622294636,4.935705801
2627,4 TG PAGAR PLAZA,81004,1.275905201,103.8427412,4 TANJONG PAGAR PLAZA SINGAPORE 081004,"(1.275905201, 103.8427412)",Tanjong Pagar,0.451148471,100 AM Singapore,0.167397569,NTUC Fairprice Co-operative Ltd,0.047512454,Blk 6 Tanjong Pagar Plaza,0.091998776,1.336388765
2628,12 TECK WHYE LANE,680012,1.379464333,103.7556715,12 TECK WHYE LANE TECK WHYE HEIGHTS II SINGAPORE 680012,"(1.379464333, 103.75567149999999)",Phoenix,0.271483472,Teck   Whye   Shopping   Centre    Singapore ,0.362342307,SHENG SIONG SUPERMARKET PTE LTD,0.220152162,Blk 254 Jurong East Street 24,4.461203011,15.0458853
2629,349 CLEMENTI AVE 2,120349,1.315958638,103.7710544,349 CLEMENTI AVENUE 2 SINGAPORE 120349,"(1.315958638, 103.77105440000001)",Clementi,0.645450267,The   Clementi   Mall    Singapore ,0.722648422,SHENG SIONG SUPERMARKET PTE LTD,0.189691415,Blk 353 Clementi Ave 2,0.176266091,9.633599824
2630,606 CLEMENTI WEST ST 1,120606,1.304853536,103.7679903,606 CLEMENTI WEST STREET 1 SINGAPORE 120606,"(1.304853536, 103.7679903)",Clementi,1.157975495,West   Coast   Plaza    Singapore ,0.332334419,COLD STORAGE SINGAPORE (1983) PTE LTD,0.273571267,Blk 726 Clementi West Street 2,0.430979734,9.580029622
2631,104 CLEMENTI ST 14,120104,1.322949685,103.7691892,104 CLEMENTI STREET 14 SUNSET WAY RESIDENCE SINGAPORE 120104,"(1.322949685, 103.7691892)",Clementi,0.989551044,The   Clementi   Mall    Singapore ,0.974909059,THNG SAIK MONG,0.150854407,Blk 353 Clementi Ave 2,0.972218046,10.13354079
2632,4 JOO CHIAT RD,420004,1.315407591,103.8989404,4 JOO CHIAT ROAD SINGAPORE 420004,"(1.315407591, 103.89894040000001)",Eunos,0.65734735,KINEX Singapore,0.502130548,NTUC Fairprice Co-operative Ltd,0.013951011,Geylang Serai Market,0.169275504,6.313978167
2633,8 HAIG RD,430008,1.313669795,103.8960696,8 HAIG ROAD HAIG VIEW SINGAPORE 430008,"(1.313669795, 103.8960696)",Paya Lebar,0.601573301,KINEX Singapore,0.210070127,COLD STORAGE SINGAPORE (1983) PTE LTD,0.206615222,Haig Road Market & Food Centre,0.182779831,5.941238194
2634,346 UBI AVE 1,400346,1.325984436,103.899672,346 UBI AVENUE 1 KIDDY CAMPUS SINGAPORE 400346,"(1.325984436, 103.899672)",Ubi,0.45532827,Paya   Lebar   Square    Singapore ,1.121147588,COLD STORAGE SINGAPORE (1983) PTE LTD,0.499872995,Blk 4A Eunos Crescent,0.813695658,7.093773009
